Transaction_ID,0,1,2,3,4
T00001,Dear Klairs Supple Preparation Facial Toner,HADA LABO Gokujyun Ultimate Moisturizing Lotion,Elsheskin Night Rejuvenation,AVOSKIN Miraculous Retinol Toner 20mL,HADA LABO Tamagohada Mild Peeling Face Wash 50gr
T00002,HOLIKA HOLIKA Good Cera Ceramide Cream In Serum,Mediheal Milk Brightening Serum,Nature Republic Bee Venom Toner,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00003,Smooth Pure Cleansing Foam,LACOCO Aloe Vera Soothing Mist,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00004,Elsheskin Day Rejuvenation,A'pieu Deep Clean Cleansing Oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00005,KIEHLS Turmeric & Cranberry Seed Energizing Radiance Masque (100ml),bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00006,SKIN GAME Skin Barricade,BANANA BOAT Deep Tanning Oil SPF2,Shiseido Future Solution LX Universal Defense E,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00007,AIZEN Incredipeel Exfoliating + Purifying Facial Toner,Emina Ms Pimple Acne Solution Moisturizing Gel,CETAPHIL UVA/UVB Defense Spf50++ (50ml) ,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00008,SKIN GAME Skin Barricade,Shiseido Future Solution LX Universal Defense E,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00009,NAUFA Face Soap 50 gr,Missha All Around Aqua Sun Gel SPF50+/PA++++ ,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00010,A'pieu Deep Clean Cleansing Oil,Elsheskin Day Rejuvenation,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00011,SKEYNDOR Uniqcure Intensive Hydrating Concentrate,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00012,SKIN GAME Skin Barricade,Shiseido Future Solution LX Universal Defense E,BANANA BOAT Deep Tanning Oil SPF2,Wardah Lightening Face Mist ,bio beauty lab acne treatment face oil
T00013,Clear Skin Foaming Gel,Somethinc 5% Niacinamide + Moisture Sabi Beet Serum,Somethinc Supple Power Hyaluronic9+Onsen Moisture Bomb Gel,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00014,Wardah Lightening Face Toner,A'pieu Deep Clean Cleansing Oil,Elsheskin Day Rejuvenation,SK-II Skin Power Cream 50gr,bio beauty lab acne treatment face oil
T00015,Mediheal Milk Brightening Serum,HOLIKA HOLIKA Good Cera Ceramide Cream In Serum,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00016,Shiseido Future Solution LX Universal Defense E,SKIN GAME Skin Barricade,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00017,Mediheal Milk Brightening Serum,HOLIKA HOLIKA Good Cera Ceramide Cream In Serum,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00018,Wardah Crystal Secret Brightening Day Cream,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00019,ERHA Acneact Clarifying Toner,Wardah UV Shield Aqua Fresh Essence SPF 50,AZARINE C white lightening serum,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
T00020,BANANA BOAT Deep Tanning Oil SPF2,SKIN GAME Skin Barricade,Shiseido Future Solution LX Universal Defense E,STUDIO TROPIK Herbitus Skin Tonic ,bio beauty lab acne treatment face oil
T00021,Nature Republic Bee Venom Toner,Mediheal Milk Brightening Serum,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil,bio beauty lab acne treatment face oil
